
Tri sur : ['const']
   id_system      id_WDS      RAJ2000      DEJ2000                   id_system_alt1       id_system_alt2 const                                                                   remarques
0     STF205  02039+4220  02 03 53.92  +42 19 47.5                    "gam 1,2 And"            "Almaach"   And                                                            "livre AVDS #18"
1      GRB34  00184+4401  00 18 22.88  +44 01 22.6                       "HIP 1475"            "HD 1326"   And  "livre AVDS #4, voir aussi P2020-018, rapport 2020-10-11, pp 2-15 pour ...
2     STT545  05597+3713  05 59 43.24  +37 12 45.9                        "the Aur"             "37 Aur"   Aur                                  "Diff. Mag., est un défis. Livre AVDS #40"
3      VBS39  23433+6234  23 43 17.62  +62 34 03.9                      "SAO 20797"                   ""   Cas                                "montage images : 2021-023, session 7, #127"
4      STF60  00491+5749  00 49 06.29  +57 48 54.7                        "eta Cas"           "HIP 3821"   Cas                                                             "livre AVDS #7"
5     STT485  23027+5514  23 02 43.88  +55 14 10.9                               ""                   ""   Cas                                                                      "CDSA"
6    STTA254  00013+6021  00 01 15.85  +60 21 19.0            "A=WZ Cas = HD224855"         "B=HD224869"   Cas                                                            "info du WDS ok"
7     STT498  23313+5225  23 31 19.72  +52 24 38.5                               ""                   ""   Cas                                                                      "CDSA"
8     STT499  23332+5724  23 33 12.21  +57 24 28.5                               ""                   ""   Cas                                                                      "CDSA"
9     STT490  23102+5727  23 10 09.51  +57 26 54.1                               ""                   ""   Cas                                                                      "CDSA"
10    STFA14  00158-1159  00 15 48.93  -11 59 24.7                        "del Ori"             "HEI 42"   Cet                                                            "livre AVDS #38"
11   STF2032  16147+3352  16 14 40.85  +33 51 31.0                    "sig 1,2 CrB"             "17 CrB"   CrB                                                           "livre AVDS #120"
12   STF1965  15394+3638  15 39 22.68  +36 38 09.0                    "zet 1,2 CrB"              "7 CrB"   CrB                             "WDS A=zet 2 CrB, B=zet 1 CrB, livre AVDS #116"
13    STFA43  00368+6031  00 36 49.07  +60 30 56.0                        "bet Cyg"            "Albiréo"   Cyg                                                            "LivreAVDS #148"
14   STF1872  14410+5757  14 41 00.84  +57 57 28.1                               ""                   ""   Dra                                                                      "CDSA"
